Task,Start,Finish,Resource
IT Service/Internet,4918.69,14481.7,IT Service/Internet
Financial Services,5568.24,7939.75,Financial Services
Real Estate Development/Construction and Engineering,6583.71,8565.83,Real Estate Development/Construction and Engineering
Service Industry,4852.07,7911.97,Service Industry
Media/Culture,4645.68,8626.54,Media/Culture
Manufaturing Industry,4947.01,7906.25,Manufaturing Industry
Energy/Environment Protection,5380.66,6482.6,Energy/Environment Protection
Education/Consultancy,5504.06,6376.09,Education/Consultancy
Human Resource,3956.41,8230.81,Human Resource
Project/Senior Management,4510.91,19470.3,Project/Senior Management
Marketing/Retail,6219.03,11709.2,Marketing/Retail
,,,