,info,name,salary,score
0,影视/媒体 |大连 |10000人以上 |www.wandafilm.com,万达影城,平均工资  ￥3059,4.0
1,广告/公关/会展 |北京 |1000-9999人 |www.bluefocusgroup.com,蓝色光标,平均工资  ￥6362,3.8
2,广告/公关/会展 |上海 |1000-9999人 |www.ogilvy.com.cn/,奥美广告,平均工资  ￥5393,4.1
3,广告/公关/会展 |北京 |500-999人 |www.dentsu.com.cn,电通,平均工资  ￥7000,3.7
4,影视/媒体 |北京 |1000-9999人 |www.cctv.com,中央电视台,平均工资  ￥7975,4.1
5,影视/媒体 |北京 |100-499人 |abcnews.go.com/,ABC公司,平均工资  ￥7426,4.1
6,影视/媒体 |杭州 |1000-9999人 |www.wasu.com.cn,华数传媒,平均工资  ￥4620,3.6
7,影视/媒体 |北京 |1000-9999人 |www.focusmedia.cn,分众传媒,平均工资  ￥5000,3.6
8,广告/公关/会展 |上海 |20-99人 |www.alwaysmkt.com,上海奥维思市场营销服务公司,平均工资  ￥3625,2.6
9,广告/公关/会展 |天津 |20-99人 |www.tasly.com/fgs/yiyao/index.htm,天津天士力医药营销集团有限公司,平均工资  ￥5500,3.5
10,影视/媒体 |上海 |1000-9999人 |www.groupmchina.com/,GroupM 群邑,平均工资  ￥5075,3.9
11,文化/艺术/出版 |北京 |500-999人 |www.fltrp.com,外研社,平均工资  ￥6000,4.0
12,影视/媒体 |北京 |1000-9999人 |www.people.com.cn,人民网,平均工资  ￥6320,4.0
13,文化/艺术/出版 |北京 |1000-9999人 |www.xinhuanet.com,新华社,平均工资  ￥7250,4.1
14,广告/公关/会展 |上海 |1000-9999人 |www.ogilvy.com.cn,奥美公关,平均工资  ￥2550,4.0
15,广告/公关/会展 |北京 |20-99人 |www.webershandwick.cn,万博宣伟,平均工资  ￥2376,4.0
16,广告/公关/会展 |苏州 |1000-9999人 |www.bmchina.com.cn,博雅公关,平均工资  ￥2900,4.1
17,影视/媒体 |上海 |100-499人 |www.bestv.com.cn,百视通公司,平均工资  ￥6771,3.5
18,广告/公关/会展 |北京 |500-999人 |www.ctrchina.cn,CTR央视市场研究,平均工资  ￥5775,3.5
19,广告/公关/会展 |上海 |100-499人 |www.shdamai.com,上海麦英文化,平均工资  ￥4500,3.4
20,影视/媒体 |北京 |500-999人 |www.ewang.com,光线传媒,平均工资  ￥6232,3.6
21,广告/公关/会展 |上海 |100-499人 |www.ruderfinn.com,罗德公关,平均工资  ￥2844,4.2
22,影视/媒体 |深圳 |100-499人 |www.bond520.com,深圳邦德文化,平均工资  ￥4660,3.3
23,广告/公关/会展 |北京 |100-499人 |www.edelman.com,爱德曼,平均工资  ￥1738,4.0
24,广告/公关/会展 |上海 |20-99人 |www.mccann.com,麦肯·光明,平均工资  ￥3625,3.9
25,影视/媒体 |长沙 |1000-9999人 |www.hunantv.com,湖南卫视,平均工资  ￥5000,4.1
26,文化/艺术/出版 |重庆 |1000-9999人,西西弗书店,平均工资  ￥2000,3.7
27,广告/公关/会展 |北京 |100-499人 |www.hillandknowlton.com.cn,伟达,平均工资  ￥8090,暂无
28,广告/公关/会展 |广州 |100-499人 |www.inno-vision.cn,广州天诺营销策划有限公司,平均工资  ￥3500,2.9
29,影视/媒体 |济南 |500-999人 |www.sparke.cn,山东星火国际传媒集团有限公司,平均工资  ￥3537,3.0
30,影视/媒体 |北京 |1000-9999人 |www.xinhuanet.com,新华网,平均工资  ￥7250,3.1
31,影视/媒体 |武汉 |100-499人 |www.mdpi.com/,曼迪匹艾（武汉）科技服务有限公司,平均工资  ￥6000,3.0
32,影视/媒体 |上海 |1000-9999人 |www.smg.cn,上海文广新闻传媒集团（SMG）,平均工资  ￥5800,3.7
33,文化/艺术/出版 |广州 |1000-9999人 |epaper.nandu.com,南方都市报,平均工资  ￥5500,4.1
34,影视/媒体 |北京 |500-999人 |www.damai.cn,大麦网,平均工资  ￥9254,3.7
35,影视/媒体 |北京 |1000-9999人 |www.btv.org,北京电视台,平均工资  ￥6320,3.8
36,影视/媒体 |上海 |1000-9999人 |starcomww.com/,星传媒体,平均工资  ￥2686,4.3
37,影视/媒体 |北京 |100-499人 |www.trends.com.cn,时尚集团,平均工资  ￥6000,3.7
38,广告/公关/会展 |上海 |100-499人 |publicis.sapient.com/en-us.html,阳狮广告,平均工资  ￥4500,4.1
39,广告/公关/会展 |北京 |100-499人 |www.hkstrategies.com,伟达公关,平均工资  ￥2130,4.0
40,影视/媒体 |武汉 |500-999人 |www.dolphinmedia.cn,海豚传媒,平均工资  ￥3085,3.1
41,影视/媒体 |上海 |1000-9999人 |www.fujifilm.com.cn,富士胶片（中国）投资有限公司,平均工资  ￥5742,3.5
42,文化/艺术/出版 |广州 |1000-9999人 |www.nanfangdaily.com.cn,南方报业传媒集团,平均工资  ￥5476,3.9
43,影视/媒体 |北京 |500-999人 |www.cri.com.cn,中国国际广播电台,平均工资  ￥6000,4.0
44,文化/艺术/出版 |北京 |20-99人 |www.bjnews.com.cn,新京报,平均工资  ￥6090,4.1
45,文化/艺术/出版 |北京 |100-499人 |press.citic,中信出版社,平均工资  ￥5500,3.6
46,广告/公关/会展 |北京 |www.charmgroup.cn,昌荣传播,平均工资  ￥7230,3.7
47,广告/公关/会展 |广州 |20-99人 |www.balintimes.com,百灵时代传媒集团有限公司,平均工资  ￥6300,3.0
48,广告/公关/会展 |广州 |100-499人 |www.shilixiongdi.com,盛世长城国际广告有限公司,平均工资  ￥4200,3.9
49,文化/艺术/出版 |北京 |1000-9999人 |www.sciencep.com,科学出版社,平均工资  ￥5530,3.6
50,广告/公关/会展 |北京 |1000-9999人 |www.shunyagroup.com/,宣亚国际传播集团,平均工资  ￥6170,3.7
51,影视/媒体 |上海 |500-999人,上海灿星文化传媒股份有限公司,平均工资  ￥5000,3.4
52,影视/媒体 |北京 |100-499人 |www.crystalcg.com,北京水晶石数字科技有限公司,平均工资  ￥7426,3.6
53,广告/公关/会展 |北京 |500-999人 |www.dongdao.net/,东道设计,平均工资  ￥5393,3.6
54,影视/媒体 |南京 |1000-9999人 |www.jsbc.com,江苏广播电视总台,平均工资  ￥4495,3.6
55,影视/媒体 |长沙 |1000-9999人 |www.hunantv.com,芒果TV,平均工资  ￥6000,3.4
56,影视/媒体 |广州 |100-499人,广州大剧院,平均工资  ￥1300,3.8
57,广告/公关/会展 |广州 |100-499人 |www.adnewsun.com/,广州市旭日因赛广告有限公司,平均工资  ￥4350,3.5
58,文化/艺术/出版 |北京 |500-999人 |www.hep.com.cn,高等教育出版社,平均工资  ￥5800,3.4
59,广告/公关/会展 |深圳 |100-499人 |www.juooo.com,聚橙网,平均工资  ￥4620,2.5
60,广告/公关/会展 |北京 |100-499人 |www.ci-ad.com,新意互动（CIG）,平均工资  ￥6600,3.8
61,广告/公关/会展 |湖州 |100-499人 |www.dsconsulting.com.cn,迪思传媒,平均工资  ￥6927,3.5
62,广告/公关/会展 |广州 |1000-9999人 |www.dawson.com.cn,广州达生,平均工资  ￥3150,3.2
63,影视/媒体 |重庆 |1000-9999人,西西弗Sisyphe,平均工资  ￥2000,3.7
64,影视/媒体 |北京 |20-99人 |www.huanqiu.com,环球时报,平均工资  ￥8200,3.9
65,广告/公关/会展 |深圳 |20-99人 |www.linksus.com.cn/index.html,灵思传播机构,平均工资  ￥5800,3.3
66,影视/媒体 |广州 |1000-9999人 |www.gdtv.com.cn,广东电视台,平均工资  ￥6000,3.8
67,广告/公关/会展 |北京 |100-499人 |www.beijing-dentsu.com.cn,上海电通广告公司,平均工资  ￥8000,3.9
68,文化/艺术/出版 |广州 |100-499人 |gzdaily.dayoo.com,广州日报社,平均工资  ￥6000,3.6
69,影视/媒体 |北京 |500-999人 |www.chncpa.org,国家大剧院,平均工资  ￥4350,3.8
70,广告/公关/会展 |北京 |500-999人 |www.reedexpo.com.cn,励展博览集团,平均工资  ￥5987,3.4
71,影视/媒体 |北京 |1000-9999人 |www.huayimedia.com,华谊兄弟传媒股份有限公司,平均工资  ￥6170,4.1
72,影视/媒体 |北京 |100-499人 |www.motie.com,磨铁图书,平均工资  ￥5393,4.0
73,影视/媒体 |杭州 |100-499人 |www.simei.cc,浙江思美传媒股份有限公司,平均工资  ￥6000,3.8
74,文化/艺术/出版 |北京 |20-99人 |www.caixin.com,财新传媒,平均工资  ￥8000,3.8
75,影视/媒体 |北京 |500-999人 |cn.reuters.com,路透,平均工资  ￥15840,5.0
76,影视/媒体 |上海 |500-999人 |www.smg.cn,上海电视台,平均工资  ￥6478,3.7
77,影视/媒体 |广州 |500-999人 |www.21cbh.com,21世纪经济报道,平均工资  ￥7920,4.4
78,文化/艺术/出版 |成都 |1000-9999人 |www.winshare.com.cn,新华文轩,平均工资  ￥2686,4.0
79,文化/艺术/出版 |上海 |20-99人 |www.dfjgdph.com,上海东方激光教育文化有限公司,平均工资  ￥3000,2.3
80,文化/艺术/出版 |深圳 |500-999人 |www.sznews.com,深圳报业集团,平均工资  ￥7224,3.3
81,广告/公关/会展 |上海 |100-499人 |www.allyes.com,好耶广告,平均工资  ￥7900,3.3
82,广告/公关/会展 |上海 |500-999人 |www.mecoolchina.com,上海明酷市场营销服务有限公司,平均工资  ￥3500,3.3
83,影视/媒体 |无锡 |20-99人 |www.tvmining.com,无锡天脉聚源传媒,平均工资  ￥3000,3.1
84,文化/艺术/出版 |北京 |500-999人 |www.chinanews.com.cn,中国新闻社,平均工资  ￥5075,3.6
85,广告/公关/会展 |北京 |100-499人 |www.yoyi.com.cn,悠易互通,平均工资  ￥9254,5.0
86,影视/媒体 |天津 |1000-9999人 |www.tjtv.com.cn,天津电视台,平均工资  ￥5280,3.3
87,广告/公关/会展 |上海 |100-499人 |www.ompchina.com,欧安派,平均工资  ￥5800,3.4
88,影视/媒体 |深圳 |100-499人 |www.discoversources.com,锋镝传媒,平均工资  ￥3500,3.6
89,影视/媒体 |成都 |1000-9999人 |www.sctv.com,四川电视台,平均工资  ￥4350,3.8
